Paquetes	Memoria	Tiempo	Superflujos	Nodos	Aristas	MACs	IPs
100	80	0.6	51	228	201	126	102
200	116	1.32	74	330	290	182	148
500	176	2.404	111	504	453	282	222
1000	261	4.4	162	757	704	433	324
2000	436	8.32	269	1267	1189	729	528	
5000	793	20.62	481	2328	2251	1366	962
10000	1208	42.186	717	3597	3609	2163	1434
20000	1835	78.346	1083	5486	5557	3320	2166
50000	3249	189.09	1897	9780	10075	5986	3794
100000	4947	365.608	2890	14885	15320	9105	5780
200000	7374	723.656	4324	22131	22642	13483	8648
500000	12820	1832.01	7489	38573	39701	23595	14978
1000000	20176	3776.972	11795	60671	62376	37081	23590
2000000	31778	7768.018	18591	95515	98075	58333	37182
5000000	58760	19068.8	34246	177053	182876	108561	68492
10000000	93107	41709.4	54152	280919	291078	172615	108304
